Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer,Result Train,Validation,Test,Test Loss,Time (min),Epoch
Xception,Yes,½,0.001,1,SGD,0.9964,0.9787,0.9733,0.09424,110,40
Xception,Yes,None,0.001,1,SGD,0.9994,0.9894,0.9911,0.03065,220,50
Xception,Yes,Full,0.0001,1,SGD,0.2216,0.4068,0.3792,2.674,87,50
Xception,Yes,½,0.0001,1,SGD,0.7532,0.8261,0.7871,1.052,142,50
Xception,Yes,None,0.0001,1,SGD,0.749,0.8193,0.7822,1.158,223,50
Xception,Yes,Full,0.001,2,SGD,0.5551,0.7275,0.7188,1.205,84,50
Xception,Yes,½,0.001,2,SGD,0.9937,0.9729,0.9663,0.1038,109,39
Xception,Yes,None,0.001,2,SGD,0.9991,0.9865,0.996,0.0247,221,50
Xception,Yes,Full,0.0001,2,SGD,0.2253,0.4097,0.4069,2.6016,92,50
Xception,Yes,½,0.0001,2,SGD,0.6669,0.7652,0.7426,1.2001,137,50
Xception,Yes,None,0.0001,2,SGD,0.7651,0.829,0.8208,1.0532,229,50
Xception,Yes,Full,0.001,1,Adam,0.8375,0.8937,0.8614,0.5,61,36
Xception,Yes,½,0.001,1,Adam,0.992,0.9971,0.9871,0.041,23,8
Xception,Yes,None,0.001,1,Adam,0.9949,0.9971,0.9881,0.0348,52,12
Xception,Yes,Full,0.0001,1,Adam,0.7782,0.8531,0.8,0.7822,90,50
Xception,Yes,½,0.0001,1,Adam,0.9985,0.9874,0.9871,0.05628,25,9
Xception,Yes,None,0.0001,1,Adam,0.9992,0.9981,0.997,0.01017,45,10
Xception,Yes,Full,0.001,2,Adam,0.8606,0.8976,0.8535,0.4346,35,20
Xception,Yes,½,0.001,2,Adam,0.9949,0.9981,0.9911,0.02447,37,13
Xception,Yes,None,0.001,2,Adam,0.9912,0.9971,0.9931,0.02588,44,10
Xception,Yes,Full,0.0001,2,Adam,0.8766,0.9082,0.8703,0.3934,90,50
Xception,Yes,½,0.0001,2,Adam,0.9929,0.9845,0.9782,0.0978,18,7
Xception,Yes,None,0.0001,2,Adam,0.999,1,0.9921,0.0427,83,19
Xception,No,Full,0.001,1,SGD,0.3378,0.5459,0.4703,2.498,16,50
